City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Miraflores,MX,72.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
176,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
178,Le Port,RE,70.25,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
179,San Policarpo,PH,75.33,overcast clouds,12.1791,125.5072,Agapita M. Nicart
180,Troitsko-Pechorsk,RU,71.64,overcast clouds,62.7084,56.1964,Pechora Gostinitsa
181,Hauterive,FR,81.36,clear sky,46.0901,3.4459,Aletti Palace Hotel
182,Hasaki,JP,77.4,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
183,Pacific Grove,US,76.21,broken clouds,36.6177,-121.9166,Lovers Point Inn
186,San Francisco,US,80.02,scattered clouds,37.7749,-122.4194,Edwardian Hotel
187,Yurino,RU,68.68,few clouds,56.2942,46.3039,Sheremetev Castle
190,Xinmin,CN,71.89,clear sky,41.9908,122.8253,Agricultural Machinery Hotel
194,San Cristobal,VE,84.09,overcast clouds,7.7669,-72.225,Pirineos
196,Magdalena,PH,75.34,moderate rain,14.1999,121.429,Samparada & Gestiada Residences
200,Keti Bandar,PK,81.48,overcast clouds,24.1447,67.4497,Haji laloo memon house
201,Gamba,GA,68.79,scattered clouds,-2.65,10.0,
204,Lata,PT,73.65,clear sky,40.1629,-8.3327,Casa Maquia
206,Tawau,MY,77.25,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
209,Kapaa,US,78.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
210,Alappuzha,IN,77.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
211,Shimoda,JP,77.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
213,Nador,MA,82.65,few clouds,35.174,-2.9287,Hôtel La Giralda
214,Alofi,NU,76.55,few clouds,-19.0595,-169.9187,Taloa Heights
215,Komsomolskiy,UZ,84.87,clear sky,40.4272,71.7189,Ikathouse
216,Inhambane,MZ,69.78,clear sky,-23.865,35.3833,Oceano
218,Pusztaszabolcs,HU,81.68,overcast clouds,47.1372,18.767,Kiri Panzió Étterem
223,Nouadhibou,MR,71.56,clear sky,20.931,-17.0347,El Medina
226,Tura,IN,75.15,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
228,Vung Tau,VN,78.87,heavy intensity rain,10.346,107.0843,Seaside Resort
231,Kudahuvadhoo,MV,81.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
232,Barda,AZ,76.28,scattered clouds,40.3744,47.1267,Prins Motel Restoran
235,Labytnangi,RU,68.45,clear sky,66.6572,66.4183,Priuralye Hotel
236,Malusac,PH,77.18,light rain,14.8587,120.6215,SAROMA
238,Banda Aceh,ID,78.75,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
240,Minna,NG,78.6,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
242,Amli,IN,77.79,light rain,20.2833,73.0167,Hotel Soubhagya Inn
244,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
245,Mirik,IN,65.95,broken clouds,26.8945,88.1848,OYO 67242 Sun View Resort
250,Saint-Joseph,RE,66.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
252,Yabrud,SY,75.52,clear sky,33.9674,36.6574,صالة افراح الاندلس
254,Lere,NG,70.41,light rain,10.387,8.5726,
255,La Ronge,CA,74.73,clear sky,55.1001,-105.2842,Northland Motor Hotel
257,Gizo,SB,80.96,light rain,-8.103,156.8419,Imagination Island
258,Mahibadhoo,MV,81.86,broken clouds,3.7833,72.9667,Omadhoo Inn
260,Potiskum,NG,84.87,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
262,Matara,LK,77.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
264,Quatre Cocos,MU,68.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
265,Bambous Virieux,MU,68.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
267,Bafoulabe,ML,83.59,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
268,Mitzic,GA,73.9,overcast clouds,0.7821,11.549,Motel Emys
269,Mahon,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
274,Morwa,IN,80.04,overcast clouds,22.9,73.8333,mahakali maa hotel
275,Lahat,ID,71.42,clear sky,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
276,Miri,MY,77.54,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
277,Rudiskes,LT,66.47,broken clouds,54.5167,24.8333,Landgoed de Harmonie Litouwen
278,Acarau,BR,83.75,clear sky,-2.8856,-40.12,castelo pizzaria
280,Kiunga,PG,72.21,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
281,Labuhan,ID,74.91,few clouds,-6.8844,112.2051,DoubleFAG
283,Hirado,JP,81.39,broken clouds,33.3597,129.5531,Samson Hotel
284,Yangambi,CD,72.48,light rain,0.8102,24.4336,
286,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
287,Syracuse,IT,83.57,clear sky,37.0881,15.2792,Hotel Posta
288,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
289,Fare,PF,76.84,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
291,Manggar,ID,78.84,clear sky,-2.8833,108.2667,Guest Hotel
292,Crotone,IT,78.19,clear sky,39.0851,17.1178,Helios Hotel
293,Gijon,ES,72.45,broken clouds,43.5357,-5.6615,Hotel Norte
294,Hirara,JP,84.06,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
296,Bandarbeyla,SO,75.92,clear sky,9.4942,50.8122,JABIR HOTEL
297,Omboue,GA,71.17,broken clouds,-1.5746,9.2618,Hotel Olako
298,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
299,Leh,IN,67.78,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
304,Santa Lucia,ES,68.76,few clouds,27.9117,-15.5407,Las Tirajanas
305,Tucupita,VE,83.39,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
307,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
